"","key","clid","cl_label"
"24098","mhb biosynthesis","GO:0021547","midbrain-hindbrain boundary initiation"
"24099","mhb formation","GO:0021547","midbrain-hindbrain boundary initiation"
"24100","midbrain-hindbrain boundary biosynthesis","GO:0021547","midbrain-hindbrain boundary initiation"
"24101","midbrain-hindbrain boundary formation","GO:0021547","midbrain-hindbrain boundary initiation"
"24102","medulla development","GO:0021550","medulla oblongata development"
"24103","myelencephalon development","GO:0021550","medulla oblongata development"
"24104","cn 1 development","GO:0021553","olfactory nerve development"
"24105","cranial nerve 1 development","GO:0021553","olfactory nerve development"
"24106","cranial nerve i development","GO:0021553","olfactory nerve development"
"24107","cn ii development","GO:0021554","optic nerve development"
"24108","cranial nerve 2 development","GO:0021554","optic nerve development"
"24109","cranial nerve ii development","GO:0021554","optic nerve development"
"24110","isthmus morphogenesis","GO:0021555","midbrain-hindbrain boundary morphogenesis"
"24111","mhb morphogenesis","GO:0021555","midbrain-hindbrain boundary morphogenesis"
"24112","cn v development","GO:0021559","trigeminal nerve development"
"24113","cranial nerve 5 development","GO:0021559","trigeminal nerve development"
"24114","cranial nerve v development","GO:0021559","trigeminal nerve development"
"24115","cn vii development","GO:0021561","facial nerve development"
"24116","cranial nerve 7 development","GO:0021561","facial nerve development"
"24117","cranial nerve vii development","GO:0021561","facial nerve development"
"24118","acoustic nerve development","GO:0021562","vestibulocochlear nerve development"
"24119","cn viii development","GO:0021562","vestibulocochlear nerve development"
"24120","cranial nerve 8 development","GO:0021562","vestibulocochlear nerve development"
"24121","cranial nerve viii development","GO:0021562","vestibulocochlear nerve development"
"24122","cn ix development","GO:0021563","glossopharyngeal nerve development"
"24123","cranial nerve 9 development","GO:0021563","glossopharyngeal nerve development"
"24124","cranial nerve ix development","GO:0021563","glossopharyngeal nerve development"
"24125","cn x development","GO:0021564","vagus nerve development"
"24126","cranial nerve 10 development","GO:0021564","vagus nerve development"
"24127","cranial nerve x development","GO:0021564","vagus nerve development"
"24128","cn xi development","GO:0021565","accessory nerve development"
"24129","cranial nerve 11 development","GO:0021565","accessory nerve development"
"24130","cranial nerve xi development","GO:0021565","accessory nerve development"
"24131","spinal accessory nerve development","GO:0021565","accessory nerve development"
"24132","cn xii development","GO:0021566","hypoglossal nerve development"
"24133","cranial nerve 12 development","GO:0021566","hypoglossal nerve development"
"24134","cranial nerve xii development","GO:0021566","hypoglossal nerve development"
"24135","rhombencephalon morphogenesis","GO:0021575","hindbrain morphogenesis"
"24136","medulla morphogenesis","GO:0021579","medulla oblongata morphogenesis"
"24137","myelencephalon morphogenesis","GO:0021579","medulla oblongata morphogenesis"
"24138","medulla biosynthesis","GO:0021580","medulla oblongata formation"
"24139","medulla formation","GO:0021580","medulla oblongata formation"
"24140","myelencephalon biosynthesis","GO:0021580","medulla oblongata formation"
"24141","myelencephalon formation","GO:0021580","medulla oblongata formation"
"24142","medulla maturation","GO:0021582","medulla oblongata maturation"
"24143","myelencephalon maturation","GO:0021582","medulla oblongata maturation"
"24144","cn xi maturation","GO:0021606","accessory nerve maturation"
"24145","spinal accessory nerve maturation","GO:0021606","accessory nerve maturation"
"24146","cn xi morphogenesis","GO:0021607","accessory nerve morphogenesis"
"24147","cn xi biosynthesis","GO:0021608","accessory nerve formation"
"24148","cn xi formation","GO:0021608","accessory nerve formation"
"24149","cn vii morphogenesis","GO:0021610","facial nerve morphogenesis"
"24150","cn vii biosynthesis","GO:0021611","facial nerve formation"
"24151","cn vii formation","GO:0021611","facial nerve formation"
"24152","cn vii maturation","GO:0021613","facial nerve maturation"
"24153","cn ix maturation","GO:0021614","glossopharyngeal nerve maturation"
"24154","cn ix morphogenesis","GO:0021615","glossopharyngeal nerve morphogenesis"
"24155","cn ix biosynthesis","GO:0021616","glossopharyngeal nerve formation"
"24156","cn ix formation","GO:0021616","glossopharyngeal nerve formation"
"24157","cn xii morphogenesis","GO:0021618","hypoglossal nerve morphogenesis"
"24158","cn xii maturation","GO:0021619","hypoglossal nerve maturation"
"24159","cn xii biosynthesis","GO:0021620","hypoglossal nerve formation"
"24160","cn xii formation","GO:0021620","hypoglossal nerve formation"
"24161","cn i morphogenesis","GO:0021627","olfactory nerve morphogenesis"
"24162","cn i biosynthesis","GO:0021628","olfactory nerve formation"
"24163","cn i formation","GO:0021628","olfactory nerve formation"
"24164","cn i maturation","GO:0021630","olfactory nerve maturation"
"24165","cn ii morphogenesis","GO:0021631","optic nerve morphogenesis"
"24166","cn ii maturation","GO:0021632","optic nerve maturation"
"24167","cn ii biosynthesis","GO:0021634","optic nerve formation"
"24168","cn ii formation","GO:0021634","optic nerve formation"
"24169","cn v maturation","GO:0021635","trigeminal nerve maturation"
"24170","cn v morphogenesis","GO:0021636","trigeminal nerve morphogenesis"
"24171","cn v biosynthesis","GO:0021638","trigeminal nerve formation"
"24172","cn v formation","GO:0021638","trigeminal nerve formation"
"24173","cn x maturation","GO:0021643","vagus nerve maturation"
"24174","cn x morphogenesis","GO:0021644","vagus nerve morphogenesis"
"24175","cn x biosynthesis","GO:0021646","vagus nerve formation"
"24176","cn x formation","GO:0021646","vagus nerve formation"
"24177","auditory nerve maturation","GO:0021647","vestibulocochlear nerve maturation"
"24178","cn viii maturation","GO:0021647","vestibulocochlear nerve maturation"
"24179","cn viii morphogenesis","GO:0021648","vestibulocochlear nerve morphogenesis"
"24180","locus caeruleus development","GO:0021703","locus ceruleus development"
"24181","locus coeruleus development","GO:0021703","locus ceruleus development"
"24182","superior olive development","GO:0021718","superior olivary nucleus development"
"24183","superior olive morphogenesis","GO:0021719","superior olivary nucleus morphogenesis"
"24184","superior olive maturation","GO:0021722","superior olivary nucleus maturation"
"24185","isthmus maturation","GO:0021732","midbrain-hindbrain boundary maturation"
"24186","mhb maturation","GO:0021732","midbrain-hindbrain boundary maturation"
"24187","neostriatum development","GO:0021756","striatum development"
"24188","striate nucleus development","GO:0021756","striatum development"
"24189","hippocampal formation development","GO:0021766","hippocampus development"
"24190","accumbens nucleus development","GO:0021768","nucleus accumbens development"
"24191","ventral striatum development","GO:0021768","nucleus accumbens development"
"24192","lgn development","GO:0021771","lateral geniculate nucleus development"
"24193","medium-sized spiny neuron differentiation","GO:0021773","striatal medium spiny neuron differentiation"
"24194","striatal msn differentiation","GO:0021773","striatal medium spiny neuron differentiation"
"24195","cerebral cortex radial glia guided migration","GO:0021801","cerebral cortex radial glia-guided migration"
"24196","cerebral cortex radial glia-dependent cell migration","GO:0021801","cerebral cortex radial glia-guided migration"
"24197","glial-guided locomotion","GO:0021801","cerebral cortex radial glia-guided migration"
"24198","cell locomotion involved in cerebral cortex glial-mediated radial migration","GO:0021814","cell motility involved in cerebral cortex radial glia guided migration"
"24199","cell locomotion involved in cerebral cortex radial glia guided migration","GO:0021814","cell motility involved in cerebral cortex radial glia guided migration"
"24200","modulation of microtubule cytoskeleton involved in cerebral cortex glial-mediated radial migration","GO:0021815","modulation of microtubule cytoskeleton involved in cerebral cortex radial glia guided migration"
"24201","cerebral cortex lamination","GO:0021819","layer formation in cerebral cortex"
"24202","down regulation of cell locomotion involved in cerebral cortex glial-mediated radial cell migration","GO:0021822","negative regulation of cell motility involved in cerebral cortex radial glia guided migration"
"24203","down-regulation of cell locomotion involved in cerebral cortex glial-mediated radial cell migration","GO:0021822","negative regulation of cell motility involved in cerebral cortex radial glia guided migration"
"24204","downregulation of cell locomotion involved in cerebral cortex glial-mediated radial cell migration","GO:0021822","negative regulation of cell motility involved in cerebral cortex radial glia guided migration"
"24205","inhibition of cell locomotion involved in cerebral cortex glial-mediated radial cell migration","GO:0021822","negative regulation of cell motility involved in cerebral cortex radial glia guided migration"
"24206","negative regulation of cell locomotion involved in cerebral cortex glial-mediated radial migration","GO:0021822","negative regulation of cell motility involved in cerebral cortex radial glia guided migration"
"24207","negative regulation of cell locomotion involved in cerebral cortex radial glia guided migration","GO:0021822","negative regulation of cell motility involved in cerebral cortex radial glia guided migration"
"24208","neuroblast division in the ventral telencephalon","GO:0021848","neuroblast division in subpallium"
"24209","projection neuron migration","GO:0021852","pyramidal neuron migration to cerebral cortex"
"24210","pyramidal neuron migration","GO:0021852","pyramidal neuron migration to cerebral cortex"
"24211","projection neuron differentiation","GO:0021859","pyramidal neuron differentiation"
"24212","projection neuron development","GO:0021860","pyramidal neuron development"
"24213","radial glial cell differentiation in forebrain","GO:0021861","forebrain radial glial cell differentiation"
"24214","abventricular progenitor cell differentiation","GO:0021863","forebrain neuroblast differentiation"
"24215","intermediate progenitor cell differentiation","GO:0021863","forebrain neuroblast differentiation"
"24216","non-surface dividing progenitor cell differentiation","GO:0021863","forebrain neuroblast differentiation"
"24217","generation of neurons in forebrain","GO:0021872","forebrain generation of neurons"
"24218","anterior-posterior neural tube patterning","GO:0021903","rostrocaudal neural tube patterning"
"24219","central nervous system axon tract development","GO:0021952","central nervous system projection neuron axonogenesis"
"24220","corticospinal tract axonogenesis","GO:0021957","corticospinal tract morphogenesis"
"24221","cst axonogenesis","GO:0021957","corticospinal tract morphogenesis"
"24222","epiphysis development","GO:0021982","pineal gland development"
"24223","hypophysis development","GO:0021983","pituitary gland development"
"24224","adenophysis development","GO:0021984","adenohypophysis development"
"24225","anterior pituitary development","GO:0021984","adenohypophysis development"
"24226","anterior pituitary gland development","GO:0021984","adenohypophysis development"
"24227","neurophysis development","GO:0021985","neurohypophysis development"
"24228","posterior pituitary development","GO:0021985","neurohypophysis development"
"24229","posterior pituitary gland development","GO:0021985","neurohypophysis development"
"24230","corticogenesis","GO:0021987","cerebral cortex development"
"24231","neocortex development","GO:0021987","cerebral cortex development"
"24232","neural plate anterior/posterior pattern formation","GO:0021999","neural plate anterior/posterior regionalization"
"24233","zli biosynthesis","GO:0022006","zona limitans intrathalamica formation"
"24234","zli formation","GO:0022006","zona limitans intrathalamica formation"
"24235","nervous system cell generation","GO:0022008","neurogenesis"
"24236","neural cell differentiation","GO:0022008","neurogenesis"
"24237","myelination in central nervous system","GO:0022010","central nervous system myelination"
"24238","peripheral nervous system myelination","GO:0022011","myelination in peripheral nervous system"
"24239","down regulation of cell-cell adhesion","GO:0022408","negative regulation of cell-cell adhesion"
"24240","down-regulation of cell-cell adhesion","GO:0022408","negative regulation of cell-cell adhesion"
"24241","downregulation of cell-cell adhesion","GO:0022408","negative regulation of cell-cell adhesion"
"24242","inhibition of cell-cell adhesion","GO:0022408","negative regulation of cell-cell adhesion"
"24243","activation of cell-cell adhesion","GO:0022409","positive regulation of cell-cell adhesion"
"24244","stimulation of cell-cell adhesion","GO:0022409","positive regulation of cell-cell adhesion"
"24245","up regulation of cell-cell adhesion","GO:0022409","positive regulation of cell-cell adhesion"
"24246","up-regulation of cell-cell adhesion","GO:0022409","positive regulation of cell-cell adhesion"
"24247","upregulation of cell-cell adhesion","GO:0022409","positive regulation of cell-cell adhesion"
"24248","cell structure disassembly","GO:0022411","cellular component disassembly"
"24249","cellular component disassembly at cellular level","GO:0022411","cellular component disassembly"
"24250","reproductive cellular process in multicellular organism","GO:0022412","cellular process involved in reproduction in multicellular organism"
"24251","single organism reproductive process","GO:0022414","reproductive process"
"24252","estrous cycle process","GO:0022602","ovulation cycle process"
"24253","menstrual cycle process","GO:0022602","ovulation cycle process"
"24254","regulation of morphogenesis","GO:0022603","regulation of anatomical structure morphogenesis"
"24255","negative regulation of cell shape and cell size","GO:0022604","regulation of cell morphogenesis"
"24256","positive regulation of cell shape and cell size","GO:0022604","regulation of cell morphogenesis"
"24257","regulation of cell shape and cell size","GO:0022604","regulation of cell morphogenesis"
"24258","mammalian oogenesis process","GO:0022605","mammalian oogenesis stage"
"24259","cell structure assembly","GO:0022607","cellular component assembly"
"24260","cellular component assembly at cellular level","GO:0022607","cellular component assembly"
"24261","ribonucleoprotein complex biogenesis and assembly","GO:0022613","ribonucleoprotein complex biogenesis"
"24262","rna-protein complex biogenesis","GO:0022613","ribonucleoprotein complex biogenesis"
"24263","ribonucleoprotein complex assembly","GO:0022618","protein-RNA complex assembly"
"24264","rna-protein complex assembly","GO:0022618","protein-RNA complex assembly"
"24265","rnp complex assembly","GO:0022618","protein-RNA complex assembly"
"24266","70s ribosome","GO:0022626","cytosolic ribosome"
"24267","80s ribosome","GO:0022626","cytosolic ribosome"
"24268","facilitated diffusion","GO:0022803","passive transmembrane transporter activity"
"24269","uniporter activity z","GO:0022803","passive transmembrane transporter activity"
"24270","active carrier activity","GO:0022804","active transmembrane transporter activity"
"24271","carrier activity","GO:0022804","active transmembrane transporter activity"
"24272","permease activity","GO:0022804","active transmembrane transporter activity"
"24273","pump activity","GO:0022804","active transmembrane transporter activity"
"24274","ionotropic neurotransmitter receptor activity","GO:0022824","transmitter-gated monoatomic ion channel activity"
"24275","transmitter-gated ion channel activity","GO:0022824","transmitter-gated monoatomic ion channel activity"
"24276","extracellular substance gated channel activity","GO:0022835","transmitter-gated channel activity"
"24277","neurotransmitter-gated channel activity","GO:0022835","transmitter-gated channel activity"
"24278","ion gated channel activity","GO:0022839","monoatomic ion-gated channel activity"
"24279","monoatomic ion gated channel activity","GO:0022839","monoatomic ion-gated channel activity"
"24280","acetylcholine-activated cation-selective channel activity","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24281","acetylcholine-gated cation channel activity","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24282","acetylcholine-gated cation-selective channel activity","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24283","ionotropic acetylcholine receptor activity","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24284","nachr","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24285","nicotinergic acetylcholine receptor activity","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24286","nicotinic acetylcholine-activated cation-selective channel activity","GO:0022848","acetylcholine-gated monoatomic cation-selective channel activity"
"24287","5-hydroxytryptamine-gated receptor-channel","GO:0022850","serotonin-gated monoatomic cation channel activity"
"24288","serotonin-activated cation-selective channel activity","GO:0022850","serotonin-gated monoatomic cation channel activity"
"24289","serotonin-gated cation channel activity","GO:0022850","serotonin-gated monoatomic cation channel activity"
"24290","serotonin-gated cation-selective channel activity","GO:0022850","serotonin-gated monoatomic cation channel activity"
"24291","serotonin-gated monoatomic cation-selective channel activity","GO:0022850","serotonin-gated monoatomic cation channel activity"
"24292","substrate-specific transmembrane transporter activity","GO:0022857","transmembrane transporter activity"
"24293","substrate-specific transporter activity","GO:0022857","transmembrane transporter activity"
"24294","uptake permease activity","GO:0022857","transmembrane transporter activity"
"24295","uptake transmembrane transporter activity","GO:0022857","transmembrane transporter activity"
"24296","di-, tri-valent inorganic cation transmembrane transporter activity","GO:0022890","inorganic cation transmembrane transporter activity"
"24297","divalent inorganic cation transmembrane transporter activity","GO:0022890","inorganic cation transmembrane transporter activity"
"24298","monovalent inorganic cation transmembrane transporter activity","GO:0022890","inorganic cation transmembrane transporter activity"
"24299","trivalent inorganic cation transmembrane transporter activity","GO:0022890","inorganic cation transmembrane transporter activity"
"24300","regulation of gene expression as a consequence of signal transmission","GO:0023019","signal transduction involved in regulation of gene expression"
"24301","regulation of signaling process","GO:0023051","regulation of signaling"
"24302","regulation of signalling process","GO:0023051","regulation of signaling"
"24303","biological signaling","GO:0023052","signaling"
"24304","signaling process","GO:0023052","signaling"
"24305","signalling","GO:0023052","signaling"
"24306","signalling process","GO:0023052","signaling"
"24307","single organism signaling","GO:0023052","signaling"
"24308","positive regulation of signaling process","GO:0023056","positive regulation of signaling"
"24309","positive regulation of signalling process","GO:0023056","positive regulation of signaling"
"24310","negative regulation of signaling process","GO:0023057","negative regulation of signaling"
"24311","negative regulation of signalling process","GO:0023057","negative regulation of signaling"
"24312","signal secretion","GO:0023061","signal release"
"24313","divalent metal ion export","GO:0030001","metal ion transport"
"24314","divalent metal ion transport","GO:0030001","metal ion transport"
"24315","heavy metal ion transport","GO:0030001","metal ion transport"
"24316","metal ion export","GO:0030001","metal ion transport"
"24317","cellular cation homeostasis","GO:0030003","intracellular monoatomic cation homeostasis"
"24318","cellular monoatomic cation homeostasis","GO:0030003","intracellular monoatomic cation homeostasis"
"24319","cellular potassium ion homeostasis","GO:0030007","intracellular potassium ion homeostasis"
"24320","bud site selection/establishment of cell polarity","GO:0030010","establishment of cell polarity"
"24321","cell polarization","GO:0030010","establishment of cell polarity"
"24322","microfilament-based process","GO:0030029","actin filament-based process"
"24323","cell projection organisation","GO:0030030","cell projection organization"
"24324","cell projection organization and biogenesis","GO:0030030","cell projection organization"
"24325","cell surface structure organization and biogenesis","GO:0030030","cell projection organization"
"24326","cell projection biogenesis","GO:0030031","cell projection assembly"
"24327","formation of a cell surface projection","GO:0030031","cell projection assembly"
"24328","microvillus biogenesis","GO:0030033","microvillus assembly"
"24329","actin cytoskeleton organisation","GO:0030036","actin cytoskeleton organization"
"24330","actin cytoskeleton organization and biogenesis","GO:0030036","actin cytoskeleton organization"
"24331","actin modulating activity","GO:0030036","actin cytoskeleton organization"
"24332","cell-matrix junction","GO:0030055","cell-substrate junction"
"24333","blood cell biosynthesis","GO:0030097","hemopoiesis"
"24334","blood cell formation","GO:0030097","hemopoiesis"
"24335","haemopoiesis","GO:0030097","hemopoiesis"
"24336","hematopoiesis","GO:0030097","hemopoiesis"
"24337","lymphocyte cell differentiation","GO:0030098","lymphocyte differentiation"
"24338","lymphocyte development","GO:0030098","lymphocyte differentiation"
"24339","lymphocytic blood cell differentiation","GO:0030098","lymphocyte differentiation"
"24340","nk cell activation","GO:0030101","natural killer cell activation"
"24341","constitutive secretory pathway transport vesicle","GO:0030133","transport vesicle"
"24342","golgi to vacuole transport vesicle","GO:0030133","transport vesicle"
"24343","golgi-vacuole transport vesicle","GO:0030133","transport vesicle"
"24344","sphingolipid anabolism","GO:0030148","sphingolipid biosynthetic process"
"24345","sphingolipid biosynthesis","GO:0030148","sphingolipid biosynthetic process"
"24346","sphingolipid formation","GO:0030148","sphingolipid biosynthetic process"
"24347","sphingolipid synthesis","GO:0030148","sphingolipid biosynthetic process"
"24348","sphingolipid breakdown","GO:0030149","sphingolipid catabolic process"
"24349","sphingolipid catabolism","GO:0030149","sphingolipid catabolic process"
"24350","sphingolipid degradation","GO:0030149","sphingolipid catabolic process"
"24351","mitochondrial matrix protein import","GO:0030150","protein import into mitochondrial matrix"
"24352","protein transport into mitochondrial matrix","GO:0030150","protein import into mitochondrial matrix"
"24353","cell adhesion receptor regulator activity","GO:0030155","regulation of cell adhesion"
"24354","regulation of peptidolysis","GO:0030162","regulation of proteolysis"
"24355","cellular protein breakdown","GO:0030163","protein catabolic process"
"24356","cellular protein catabolic process","GO:0030163","protein catabolic process"
"24357","cellular protein catabolism","GO:0030163","protein catabolic process"
"24358","cellular protein degradation","GO:0030163","protein catabolic process"
"24359","multicellular organismal protein catabolic process","GO:0030163","protein catabolic process"
"24360","pheromone catabolic process","GO:0030163","protein catabolic process"
"24361","pheromone catabolism","GO:0030163","protein catabolic process"
"24362","protein breakdown","GO:0030163","protein catabolic process"
"24363","protein catabolism","GO:0030163","protein catabolic process"
"24364","protein degradation","GO:0030163","protein catabolic process"
"24365","proteoglycan anabolism","GO:0030166","proteoglycan biosynthetic process"
"24366","proteoglycan biosynthesis","GO:0030166","proteoglycan biosynthetic process"
"24367","proteoglycan formation","GO:0030166","proteoglycan biosynthetic process"
"24368","proteoglycan synthesis","GO:0030166","proteoglycan biosynthetic process"
"24369","proteoglycan breakdown","GO:0030167","proteoglycan catabolic process"
"24370","proteoglycan catabolism","GO:0030167","proteoglycan catabolic process"
"24371","proteoglycan degradation","GO:0030167","proteoglycan catabolic process"
"24372","blood coagulation, platelet activation","GO:0030168","platelet activation"
"24373","b cell development","GO:0030183","B cell differentiation"
"24374","b lymphocyte differentiation","GO:0030183","B cell differentiation"
"24375","b-cell differentiation","GO:0030183","B cell differentiation"
"24376","b-lymphocyte differentiation","GO:0030183","B cell differentiation"
"24377","melatonin metabolism","GO:0030186","melatonin metabolic process"
"24378","melatonin anabolism","GO:0030187","melatonin biosynthetic process"
"24379","melatonin biosynthesis","GO:0030187","melatonin biosynthetic process"
"24380","melatonin formation","GO:0030187","melatonin biosynthetic process"
"24381","melatonin synthesis","GO:0030187","melatonin biosynthetic process"
"24382","activation of blood coagulation","GO:0030194","positive regulation of blood coagulation"
"24383","stimulation of blood coagulation","GO:0030194","positive regulation of blood coagulation"
"24384","up regulation of blood coagulation","GO:0030194","positive regulation of blood coagulation"
"24385","up-regulation of blood coagulation","GO:0030194","positive regulation of blood coagulation"
"24386","upregulation of blood coagulation","GO:0030194","positive regulation of blood coagulation"
"24387","down regulation of blood coagulation","GO:0030195","negative regulation of blood coagulation"
"24388","down-regulation of blood coagulation","GO:0030195","negative regulation of blood coagulation"
"24389","downregulation of blood coagulation","GO:0030195","negative regulation of blood coagulation"
"24390","inhibition of blood coagulation","GO:0030195","negative regulation of blood coagulation"
"24391","extracellular matrix organisation","GO:0030198","extracellular matrix organization"
"24392","extracellular matrix organization and biogenesis","GO:0030198","extracellular matrix organization"
"24393","collagen fibril organisation","GO:0030199","collagen fibril organization"
"24394","fibrillar collagen organization","GO:0030199","collagen fibril organization"
"24395","heparan sulfate metabolic process","GO:0030202","heparin proteoglycan metabolic process"
"24396","heparin metabolism","GO:0030202","heparin proteoglycan metabolic process"
"24397","glycosaminoglycan metabolism","GO:0030203","glycosaminoglycan metabolic process"
"24398","heparan sulfate biosynthetic process","GO:0030210","heparin proteoglycan biosynthetic process"
"24399","heparin anabolism","GO:0030210","heparin proteoglycan biosynthetic process"
"24400","heparin biosynthesis","GO:0030210","heparin proteoglycan biosynthetic process"
"24401","heparin formation","GO:0030210","heparin proteoglycan biosynthetic process"
"24402","heparin synthesis","GO:0030210","heparin proteoglycan biosynthetic process"
"24403","heparan sulfate catabolic process","GO:0030211","heparin proteoglycan catabolic process"
"24404","heparin breakdown","GO:0030211","heparin proteoglycan catabolic process"
"24405","heparin catabolism","GO:0030211","heparin proteoglycan catabolic process"
"24406","heparin degradation","GO:0030211","heparin proteoglycan catabolic process"
"24407","hyaluronan metabolism","GO:0030212","hyaluronan metabolic process"
"24408","hyaluronan anabolism","GO:0030213","hyaluronan biosynthetic process"
"24409","hyaluronan biosynthesis","GO:0030213","hyaluronan biosynthetic process"
"24410","hyaluronan formation","GO:0030213","hyaluronan biosynthetic process"
"24411","hyaluronan synthesis","GO:0030213","hyaluronan biosynthetic process"
"24412","hyaluronan breakdown","GO:0030214","hyaluronan catabolic process"
"24413","hyaluronan catabolism","GO:0030214","hyaluronan catabolic process"
"24414","hyaluronan degradation","GO:0030214","hyaluronan catabolic process"
"24415","keratinocyte cell differentiation","GO:0030216","keratinocyte differentiation"
"24416","t cell development","GO:0030217","T cell differentiation"
"24417","t lymphocyte differentiation","GO:0030217","T cell differentiation"
"24418","t-cell differentiation","GO:0030217","T cell differentiation"
"24419","t-lymphocyte differentiation","GO:0030217","T cell differentiation"
"24420","erythrocyte cell differentiation","GO:0030218","erythrocyte differentiation"
"24421","erythropoiesis","GO:0030218","erythrocyte differentiation"
"24422","rbc differentiation","GO:0030218","erythrocyte differentiation"
"24423","red blood cell differentiation","GO:0030218","erythrocyte differentiation"
"24424","megakaryocyte cell differentiation","GO:0030219","megakaryocyte differentiation"
"24425","platelet extrusion","GO:0030220","platelet formation"
"24426","basophil cell differentiation","GO:0030221","basophil differentiation"
"24427","eosinophil cell development","GO:0030222","eosinophil differentiation"
"24428","eosinophil cell differentiation","GO:0030222","eosinophil differentiation"
"24429","eosinophil development","GO:0030222","eosinophil differentiation"
"24430","neutrophil cell differentiation","GO:0030223","neutrophil differentiation"
"24431","neutrophil granulocyte differentiation","GO:0030223","neutrophil differentiation"
"24432","neutrophil granulocytopoiesis","GO:0030223","neutrophil differentiation"
"24433","monocyte cell differentiation","GO:0030224","monocyte differentiation"
"24434","macrophage cell differentiation","GO:0030225","macrophage differentiation"
"24435","lipoprotein receptor activity","GO:0030228","lipoprotein particle receptor activity"
"24436","plasma lipoprotein particle receptor activity","GO:0030228","lipoprotein particle receptor activity"
"24437","selectin","GO:0030246","carbohydrate binding"
"24438","sugar binding","GO:0030246","carbohydrate binding"
"24439","polysaccharide assembly with mhc class ii protein complex","GO:0030247","polysaccharide binding"
"24440","somatotropin secretion","GO:0030252","growth hormone secretion"
"24441","dna condensation","GO:0030261","chromosome condensation"
"24442","eukaryotic chromosome condensation","GO:0030261","chromosome condensation"
"24443","nuclear chromosome condensation","GO:0030261","chromosome condensation"
"24444","apoptotic nuclear change","GO:0030262","apoptotic nuclear changes"
"24445","pyknosis","GO:0030263","apoptotic chromosome condensation"
"24446","apoptotic nuclear fragmentation","GO:0030264","nuclear fragmentation involved in apoptotic nuclear change"
"24447","nuclear fragmentation during apoptosis","GO:0030264","nuclear fragmentation involved in apoptotic nuclear change"
"24448","nucleus fragmentation","GO:0030264","nuclear fragmentation involved in apoptotic nuclear change"
"24449","regulation of bone biosynthesis","GO:0030278","regulation of ossification"
"24450","regulation of bone formation","GO:0030278","regulation of ossification"
"24451","down regulation of ossification","GO:0030279","negative regulation of ossification"
"24452","down-regulation of ossification","GO:0030279","negative regulation of ossification"
"24453","downregulation of ossification","GO:0030279","negative regulation of ossification"
"24454","inhibition of ossification","GO:0030279","negative regulation of ossification"
"24455","negative regulation of bone biosynthesis","GO:0030279","negative regulation of ossification"
"24456","negative regulation of bone formation","GO:0030279","negative regulation of ossification"
"24457","bone calcification","GO:0030282","bone mineralization"
"24458","activation of cell growth","GO:0030307","positive regulation of cell growth"
"24459","stimulation of cell growth","GO:0030307","positive regulation of cell growth"
"24460","up regulation of cell growth","GO:0030307","positive regulation of cell growth"
"24461","up-regulation of cell growth","GO:0030307","positive regulation of cell growth"
"24462","upregulation of cell growth","GO:0030307","positive regulation of cell growth"
"24463","down regulation of cell growth","GO:0030308","negative regulation of cell growth"
"24464","down-regulation of cell growth","GO:0030308","negative regulation of cell growth"
"24465","downregulation of cell growth","GO:0030308","negative regulation of cell growth"
"24466","inhibition of cell growth","GO:0030308","negative regulation of cell growth"
"24467","osteoclast cell differentiation","GO:0030316","osteoclast differentiation"
"24468","flagellated sperm movement","GO:0030317","flagellated sperm motility"
"24469","sperm flagellum movement","GO:0030317","flagellated sperm motility"
"24470","sperm flagellum movement involved in flagellated sperm motility","GO:0030317","flagellated sperm motility"
"24471","sperm flagellum movement involved in flagellated sperm movement","GO:0030317","flagellated sperm motility"
"24472","sperm movement","GO:0030317","flagellated sperm motility"
"24473","melanocyte cell differentiation","GO:0030318","melanocyte differentiation"
"24474","melanophore differentiation","GO:0030318","melanocyte differentiation"
"24475","interrenal gland","GO:0030325","adrenal gland development"
"24476","estrogen receptor binding","GO:0030331","nuclear estrogen receptor binding"
"24477","activation of cell migration","GO:0030335","positive regulation of cell migration"
"24478","stimulation of cell migration","GO:0030335","positive regulation of cell migration"
"24479","up regulation of cell migration","GO:0030335","positive regulation of cell migration"
"24480","up-regulation of cell migration","GO:0030335","positive regulation of cell migration"
"24481","upregulation of cell migration","GO:0030335","positive regulation of cell migration"
"24482","down regulation of cell migration","GO:0030336","negative regulation of cell migration"
"24483","down-regulation of cell migration","GO:0030336","negative regulation of cell migration"
"24484","downregulation of cell migration","GO:0030336","negative regulation of cell migration"
"24485","inhibition of cell migration","GO:0030336","negative regulation of cell migration"
"24486","sperm mitochondria organisation","GO:0030382","sperm mitochondrion organization"
"24487","sperm mitochondria organization and biogenesis","GO:0030382","sperm mitochondrion organization"
"24488","sperm mitochondrion organization and biogenesis","GO:0030382","sperm mitochondrion organization"
"24489","membrane breakdown","GO:0030397","membrane disassembly"
"24490","membrane catabolism","GO:0030397","membrane disassembly"
"24491","membrane degradation","GO:0030397","membrane disassembly"
